pl_name,rastr,decstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef,htmllink
MOA-2008-BLG-310L b,17h54m14.53s,-34d46m40.99s,74.00000000,17.00000000,-17.00000000,0,0.23000000,0.05000000,-0.05000000,0,1.25000000,0.10000000,-0.10000000,0,0.67000000,0.14000000,-0.14000000,0,6000.00000000,,,-1,,,,,2454656.39975000,0.00005000,-0.00005000,0,0.00300000,0.00014000,-0.00014000,0,11.14000000,0.50000000,-0.50000000,0,,,,,1.08500000,0.00300000,-0.00300000,0,3.31000000,0.26000000,-0.26000000,0,1.21000000,0.02000000,-0.02000000,0,19.28000000,0.05000000,-0.05000000,0,,,,,0.15500000,0.01100000,-0.01100000,0,5.10000000,0.03000000,-0.03000000,0,0,<a refstr=JANCZAK_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711..731J/abstract target=ref> Janczak et al. 2010 </a>
KMT-2016-BLG-2142L b,17h52m26.88s,-29d23m04.42s,4923.00000000,7943.00000000,-2730.00000000,0,15.49000000,24.99000000,-8.58000000,0,0.83000000,0.15000000,-0.20000000,0,0.07300000,0.11700000,-0.04000000,0,7010.00000000,1010.00000000,-1160.00000000,0,,,,,2457612.54000000,0.04000000,-0.04000000,0,0.14000000,0.01000000,-0.01000000,0,5.15000000,0.22000000,-0.22000000,0,6.42000000,0.34000000,-0.34000000,0,0.97000000,0.01000000,-0.01000000,0,2030.00000000,110.00000000,-110.00000000,0,3.96000000,0.03000000,-0.03000000,0,3.90000000,0.02000000,-0.02000000,0,,,,,0.12200000,0.01300000,-0.01300000,0,8.62200000,0.93400000,-0.93400000,0,1,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>
OGLE-2018-BLG-0596L b,17h56m13.33s,-29d11m56.7s,13.93000000,1.56000000,-1.56000000,0,0.04383000,0.00491000,-0.00491000,0,0.97000000,0.13000000,-0.13000000,0,0.23100000,0.02800000,-0.02800000,0,5650.00000000,750.00000000,-750.00000000,0,8580.00000000,1420.00000000,-1420.00000000,0,2458277.14000000,0.01500000,-0.01500000,0,0.28400000,0.00600000,-0.00600000,0,29.00300000,0.11000000,-0.11000000,0,13.47000000,0.49000000,-0.49000000,0,0.51200000,0.01700000,-0.01700000,0,1.82700000,0.13200000,-0.13200000,0,6.02200000,0.01100000,-0.01100000,0,17.19000000,0.01000000,-0.01000000,0,,,,,0.33600000,0.03400000,-0.03400000,0,4.22000000,0.42000000,-0.42000000,0,1,<a refstr=JUNG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...28J/abstract target=ref>Jung et al. 2019</a>
OGLE-2013-BLG-0911L b,17h55m31.98s,-29d15m13.8s,,,,0,,,,0,,,,0,,,,,,,,,8000.00000000,2000.00000000,-2000.00000000,0,2456537.31110000,0.00050000,-0.00060000,0,-0.00462600,0.00005300,-0.00005300,0,98.27500000,1.15400000,-1.14800000,0,0.97100000,0.11800000,-0.08500000,0,7.08400000,0.07400000,-0.06400000,0,345.60000000,0.08700000,-0.06700000,0,2.09200000,0.00600000,-0.00500000,0,18.10400000,0.04900000,-0.04900000,0,,,,,,,,,,,,,0,<a refstr=MIYAZAKI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...76M/abstract target=ref>Miyazaki et al. 2020</a>
MOA-2010-BLG-353L b,18h05m12.94s,-27d17m35.64s,86.00000000,150.00000000,-51.00000000,0,0.27000000,0.48000000,-0.16000000,0,1.72000000,0.56000000,-0.48000000,0,0.18000000,0.32000000,-0.11000000,0,6430.00000000,1090.00000000,-1150.00000000,0,8000.00000000,,,0,2455381.24000000,0.06000000,-0.06000000,0,-0.79000000,0.08000000,-0.08000000,0,11.30000000,0.70000000,-0.70000000,0,21.00000000,9.00000000,-9.00000000,0,1.45000000,0.06000000,-0.06000000,0,14.00000000,4.00000000,-4.00000000,0,4.17000000,0.02000000,-0.02000000,0,17.73000000,0.30000000,-0.30000000,0,,,,,0.18700000,0.08900000,-0.08900000,0,,,,,1,<a refstr=RATTENBURY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>
KMT-2018-BLG-1990L b,17h53m44.49s,-22d09m09.14s,206.00000000,105.00000000,-58.00000000,0,0.64900000,0.33000000,-0.18100000,0,0.94700000,0.37700000,-0.20300000,0,0.11100000,0.05700000,-0.03100000,0,950.00000000,411.00000000,-238.00000000,0,,,,,2458230.34300000,0.03000000,-0.03000000,0,0.03900000,0.00200000,-0.00200000,0,45.64600000,1.83300000,-1.83300000,0,1.22300000,0.15800000,-0.15800000,0,1.11500000,0.01200000,-0.01200000,0,55.91000000,4.32000000,-4.32000000,0,2.53000000,0.01500000,-0.01500000,0,19.36000000,0.05000000,-0.05000000,0,,,,,,,,,,,,,0,<a refstr=RYU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..151R/abstract target=ref>Ryu et al. 2019</a>
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,30.00000000,11.00000000,-4.00000000,0,0.09000000,0.04000000,-0.01000000,0,2.60000000,0.40000000,-0.40000000,0,0.47000000,0.08000000,-0.07000000,0,2600.00000000,800.00000000,-500.00000000,0,,,,,2456151.49000000,0.03000000,-0.03000000,0,0.10100000,0.00300000,-0.00300000,0,68.70000000,1.40000000,-1.40000000,0,3.00000000,,,1,1.00400000,0.00800000,-0.00400000,0,1.90000000,0.60000000,-0.10000000,0,5.08300000,0.00600000,-0.00600000,0,19.29000000,0.03000000,-0.03000000,0,,,,,0.99000000,0.08000000,-0.13000000,0,5.30000000,0.40000000,-0.70000000,0,0,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153....1K/abstract target=ref>Koshimoto et al. 2017</a>
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,39.00000000,13.00000000,-4.00000000,0,0.12000000,0.04000000,-0.01000000,0,3.10000000,0.20000000,-0.50000000,0,0.63000000,0.05000000,-0.10000000,0,3200.00000000,400.00000000,-900.00000000,0,,,,,2456151.48000000,0.02000000,-0.02000000,0,-0.10100000,0.00300000,-0.00300000,0,67.80000000,1.40000000,-1.40000000,0,3.10000000,,,1,1.00400000,0.00900000,-0.00300000,0,1.90000000,0.60000000,-0.10000000,0,1.19500000,0.00300000,-0.00900000,0,19.29000000,0.03000000,-0.03000000,0,,,,,0.99000000,0.17000000,-0.06000000,0,5.30000000,0.90000000,-0.40000000,0,0,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153....1K/abstract target=ref>Koshimoto et al. 2017</a>
KMT-2018-BLG-0029L b,17h37m52.67s,-27d59m04.92s,7.59000000,0.75000000,-0.69000000,0,0.02390000,0.00240000,-0.00220000,0,4.27000000,0.21000000,-0.23000000,0,1.14000000,0.10000000,-0.12000000,0,3380.00000000,220.00000000,-260.00000000,0,8200.00000000,,,0,2458294.71600000,0.02500000,-0.02500000,0,0.02700000,0.00300000,-0.00300000,0,173.95000000,15.75400000,-15.75400000,0,0.44720000,0.06920000,-0.06920000,0,1.00000000,0.00200000,-0.00200000,0,0.18290000,0.02170000,-0.02170000,0,1.53100000,0.00500000,-0.00500000,0,,,,,,,,,1.56000000,0.24000000,-0.24000000,0,3.30000000,0.50000000,-0.50000000,0,1,<a refstr=GOULD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53....9G/abstract target=ref>Gould et al. 2020</a>
MOA-2011-BLG-291L b,17h55m28.29s,-29d10m14.4s,18.00000000,34.00000000,-12.00000000,0,0.05700000,0.11000000,-0.03800000,0,0.69000000,0.24000000,-0.24000000,0,0.15000000,0.27000000,-0.10000000,0,4400.00000000,1400.00000000,-1400.00000000,0,4900.00000000,1300.00000000,-1300.00000000,0,2455747.96300000,0.00300000,-0.00300000,0,-0.00729000,0.00027000,-0.00027000,0,23.50000000,0.70000000,-0.70000000,0,,,,,1.19700000,0.02500000,-0.02500000,0,3.80000000,0.70000000,-0.70000000,0,3.07200000,0.01000000,-0.01000000,0,20.74700000,0.03500000,-0.03500000,0,,,,,0.12900000,0.01200000,-0.01200000,0,2.01000000,0.18000000,-0.18000000,0,1,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..113B/abstract target=ref>Bennett et al. 2018</a>
OGLE-2012-BLG-0026L b,17h34m18.70s,-27d08m33.9s,46.10000000,2.60000000,-2.60000000,0,0.14500000,0.00820000,-0.00820000,0,4.00000000,0.50000000,-0.50000000,0,1.06000000,0.05000000,-0.05000000,0,4019.00000000,380.00000000,-380.00000000,0,7390.00000000,1280.00000000,-1280.00000000,0,,,,,,,,,94.12000000,0.92000000,-0.92000000,0,,,,,,,,,,,,,,,,,,,,,,,,,0.98000000,0.04000000,-0.04000000,0,,,,,1,<a refstr=BEAULIEU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...83B/abstract target=ref>Beaulieu et al. 2016</a>
OGLE-2015-BLG-1771L b,17h55m11.76s,-28d51m45.90s,740.90000000,1388.00000000,-500.90000000,0,2.33100000,4.36800000,-1.57600000,0,0.55000000,0.09000000,-0.10000000,0,0.04900000,0.09100000,-0.03300000,0,6850.00000000,1020.00000000,-1150.00000000,0,,,,,2457235.51000000,0.01000000,-0.01000000,0,0.24200000,0.00900000,-0.00900000,0,2.49000000,0.10000000,-0.10000000,0,8.27000000,0.80000000,-0.80000000,0,1.11900000,0.00600000,-0.00600000,0,455.00000000,45.00000000,-45.00000000,0,3.34900000,0.00700000,-0.00700000,0,20.91000000,0.05000000,-0.05000000,0,22.04000000,0.14000000,-0.14000000,0,0.07100000,0.01000000,-0.01000000,0,10.40000000,1.40000000,-1.40000000,0,0,<a refstr=ZHANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..116Z/abstract target=ref>Zhang et al. 2020</a>
OGLE-2015-BLG-0051L b,17h58m39.01s,-28d01m54.1s,230.00000000,210.00000000,-20.00000000,0,0.72000000,0.65000000,-0.07000000,0,0.73000000,0.08000000,-0.08000000,0,0.10000000,0.09000000,-0.01000000,0,8200.00000000,900.00000000,-900.00000000,0,,,,,2457083.08100000,0.00300000,-0.00300000,0,0.22400000,0.00200000,-0.00200000,0,10.81000000,0.07000000,-0.07000000,0,45.30000000,0.60000000,-0.60000000,0,0.96300000,0.00200000,-0.00200000,0,74.30000000,1.30000000,-1.30000000,0,5.35800000,0.00200000,-0.00200000,0,,,,,,,,,0.09300000,0.00800000,-0.00800000,0,3.15000000,0.28000000,-0.28000000,0,1,<a refstr=HAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...95H/abstract target=ref>Han et al. 2016</a>
OGLE-2016-BLG-0613L AB b,17h57m02.50s,-28d06m58.2s,957.00000000,737.00000000,-543.00000000,0,3.01000000,2.32000000,-1.71000000,0,3.28000000,1.20000000,-1.39000000,0,0.65000000,0.50000000,-0.37000000,0,3560.00000000,1300.00000000,-1510.00000000,0,,,,,2457490.48900000,0.12000000,-0.12000000,0,0.04700000,0.00100000,-0.00100000,0,44.94000000,1.33000000,-1.33000000,0,0.36000000,0.03000000,-0.03000000,0,0.87200000,0.00200000,-0.00200000,0,44.30000000,1.30000000,-1.30000000,0,4.77400000,0.02200000,-0.02200000,0,22.01000000,0.04000000,-0.04000000,0,19.56000000,,,0,1.12000000,0.22000000,-0.22000000,0,9.06000000,1.75000000,-1.75000000,0,0,<a refstr=HAN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..223H/abstract target=ref>Han et al. 2017</a>
MOA-2009-BLG-319L b,18h06m58.13s,-26d49m10.9s,67.30000000,6.20000000,-6.20000000,0,0.21200000,0.02000000,-0.02000000,0,2.03000000,0.21000000,-0.21000000,0,0.52400000,0.04800000,-0.04800000,0,7050.00000000,710.00000000,-710.00000000,0,8250.00000000,860.00000000,-860.00000000,0,2455006.99520000,0.00080000,-0.00080000,0,-0.00610000,0.00040000,-0.00040000,0,16.72000000,0.10000000,-0.10000000,0,,,,,0.97560000,0.00010000,-0.00010000,0,3.85600000,0.02900000,-0.02900000,0,-2.62990000,0.00070000,-0.00070000,0,19.99400000,0.00700000,-0.00700000,0,,,,,0.29600000,0.00600000,-0.00600000,0,6.47200000,0.12100000,-0.12100000,0,1,<a refstr=TERRY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...54T/abstract target=ref>Terry et al. 2021</a>
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,4.50000000,0.50000000,-0.50000000,0,0.01400000,0.00200000,-0.00200000,0,1.18000000,0.10000000,-0.10000000,0,0.23400000,0.02600000,-0.02600000,0,860.00000000,90.00000000,-90.00000000,0,,,,,2457984.97800000,0.00400000,-0.00400000,0,0.04300000,0.00100000,-0.00100000,0,62.95700000,0.86300000,-0.86300000,0,0.46920000,0.00930000,-0.00930000,0,0.97900000,0.00040000,-0.00040000,0,0.57220000,0.01450000,-0.01450000,0,4.55100000,0.00200000,-0.00200000,0,18.45000000,0.06300000,-0.06300000,0,,,,,1.40000000,0.09000000,-0.09000000,0,8.10000000,0.50000000,-0.50000000,0,1,<a refstr=UDALSKI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AcA....68....1U/abstract target=ref>Udalski et al. 2018</a>
OGLE-2005-BLG-169L b,18h06m05.32s,-30d43m57.5s,13.20000000,1.30000000,-1.30000000,0,0.04150000,0.00410000,-0.00410000,0,3.40000000,0.30000000,-0.30000000,0,0.65000000,0.05000000,-0.05000000,0,4000.00000000,400.00000000,-400.00000000,0,8500.00000000,1500.00000000,-1500.00000000,0,,,,,0.00126700,,,0,43.63000000,,,0,,,,,,,,,0.61500000,0.04000000,-0.04000000,0,,,,,20.81000000,0.08000000,-0.08000000,0,,,,,0.83800000,,,0,7.44000000,0.17000000,-0.17000000,0,0,<a refstr=BATISTA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..170B/abstract target=ref>Batista et al. 2015</a>
KMT-2016-BLG-1820L b,17h55m03.54s,-29d31m00.91s,1450.00000000,1600.00000000,-680.00000000,0,4.57000000,5.03000000,-2.14000000,0,1.08000000,0.22000000,-0.22000000,0,0.03900000,0.04300000,-0.01800000,0,6260.00000000,1140.00000000,-1280.00000000,0,,,,,2457632.19000000,0.02000000,-0.02000000,0,0.24000000,0.01000000,-0.01000000,0,4.81000000,0.03000000,-0.03000000,0,6.56000000,0.21000000,-0.21000000,0,1.40000000,0.01000000,-0.01000000,0,1130.00000000,30.00000000,-30.00000000,0,3.04000000,0.01000000,-0.01000000,0,3.37000000,0.02000000,-0.02000000,0,,,,,0.12300000,0.01200000,-0.01200000,0,9.34100000,0.88200000,-0.88200000,0,1,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>
OGLE-2012-BLG-0724L b,17h55m52.39s,-29d49m6.7s,150.00000000,170.00000000,-83.00000000,0,0.47000000,0.54000000,-0.26000000,0,1.60000000,0.40000000,-0.30000000,0,0.29000000,0.33000000,-0.16000000,0,6700.00000000,1100.00000000,-1200.00000000,0,,,,,2456071.03810000,0.00100000,-0.00100000,0,0.00838300,0.00061200,-0.00061200,0,13.35560000,0.84790000,-0.84790000,0,1.40980000,0.12820000,-0.12820000,0,0.91950000,0.00530000,-0.00530000,0,15.84800000,1.45100000,-1.45100000,0,1.57000000,0.01170000,-0.01170000,0,21.89000000,0.07000000,-0.07000000,0,,,,,0.23900000,0.02800000,-0.02800000,0,6.52000000,0.87000000,-0.87000000,0,1,<a refstr=HIRAO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824..139H/abstract target=ref>Hirao et al. 2016</a>
MOA-2010-BLG-328L b,17h57m59.12s,-30d42m54.63s,15.20000000,5.90000000,-5.90000000,0,0.04780000,0.01900000,-0.01900000,0,1.21000000,0.27000000,-0.27000000,0,0.12000000,0.02000000,-0.02000000,0,1240.00000000,180.00000000,-180.00000000,0,,,,,2455378.69400000,0.01700000,-0.01700000,0,0.07160000,0.00070000,-0.00070000,0,64.20000000,0.60000000,-0.60000000,0,1.09000000,0.17000000,-0.17000000,0,1.18000000,0.02800000,-0.02800000,0,3.68000000,1.26000000,-1.26000000,0,0.19650000,0.01510000,-0.01510000,0,,,,,,,,,0.83000000,0.14000000,-0.14000000,0,4.72000000,0.79000000,-0.79000000,0,0,<a refstr=FURUSAWA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>
